# name linelist molecular_weight C O H
H2 H2______________________________________ 2.01588 0 0 2
He He______________________________________ 4.00260 0 0 0
H H________________________________________ 1.00794 0 0 1
H- H-________________________________________ 1.00783 0 0 1
H2O H2-16O__pokazatel-Sam-new.R1e6_0.3-28mu 18.01528 0 1 2
H2O_181 1H2-18O__HITEMP.R1e6_0.3-28mu 20.01528 0 1 2
CO 12C-16O__high-Sam.R1e6_0.3-28mu 28.0101 1 1 0
13CO 13C-16O__high-Sam.R1e6_0.3-28mu 29.0121 1 1 0
C18O 12C-18O__high-Sam.R1e6_0.3-28mu 30.0061 1 1 0
C17O 12C-17O__HITRAN.R1e6_0.3-28mu 29.0031 1 1 0
CO2  12C-16O2__exomol-UCL4000.R1e+06_0.3-50.0mu 44.0095 1 2 0
12CH4 12C-1H4__MM.R1e6_0.3-28mu 16.04 1 0 4
13CH4 13C-1H4__HITRAN.R1e+06_0.3-28.0mu 17.03 1 0 4
C2H2 12C2-1H2__aCeTY.R1e+06_0.3-28.0mu 26.038 2 0 2
HCN 1H-12C-14N__Harris.R1e6_0.3-28mu 27.025 1 0 1
NH3 14N-1H3__CoYuTe.R1e+06_0.3-28.0mu 17.03 0 0 3
PH3 31P-1H3__SAlTY.R100000_0.3-28mu 33.9976 0 0 3
SiO 28Si-16O__exomol.R1e+06_0.3-50.0mu 44.08 0 1 0
H2S 1H2-32S__Sid.R1e6_0.3-28mu 34.08 0 0 2
CN 12C-14N__high.R1e6_0.3-28mu 26.01 1 0 0
OH 16O-1H__exomol.R1e+06_0.3-50.0mu 17.00 0 1 1
HF 1H-19F__Coxon-Hajig.R1e+06_0.3-28.0mu 20.01 0 0 1
Fe 56Fe__Kurucz-high.R1e+06_0.3-50.0mu 55.845 0 0 0
K  39K__Kurucz.R1e+06_0.3-50.0mu 39.0983 0 0 0
Na 23Na__Kurucz-high.R1e+06_0.3-50.0mu 22.98977 0 0 0
Ca 40Ca__Kurucz-high.R1e+06_0.3-50.0mu 40.078 0 0 0
Si 28Si__Kurucz-high.R1e+06_0.3-50.0mu 28.0855 0 0 0
Mg 24Mg__Kurucz-high.R1e+06_0.3-50.0mu 24.305 0 0 0
Al 27Al__Kurucz-high.R1e+06_0.3-50.0mu 26.981538 0 0 0
Sc 45Sc__Kurucz-high.R1e+06_0.3-50.0mu 44.95591 0 0 0
Ti 48Ti__Kurucz-high.R1e+06_0.3-50.0mu 47.867 0 0 0
Mn 55Mn__Kurucz-high.R1e+06_0.3-50.0mu 54.938044 0 0 0
Ni 58Ni__Kurucz-high.R1e+06_0.3-50.0mu 58.6934 0 0 0
TiO 48Ti-16O__Toto.R1e+06_0.3-28.0mu 63.866 0 1 0
VO 51V-16O__HyVO.R1e6_0.3-28mu 66.94 0 1 0
FeH 56Fe-1H__MoLLIST.R1e+06_0.3-28.0mu 57.01 0 0 1
CrH 52Cr-1H__Exomol.R1e6_0.3-28mu 53.00 0 0 1
